uf;cidade;populacao_estimada
PB;Rio Tinto;24258
PB;Salgadinho;3975
PB;Salgado de São Félix;12123
PB;Santa Cecília;6526
PB;Santa Cruz;6579
PB;Santa Helena;5853
PB;Santa Inês;3591
PB;Santa Luzia;15470
PB;Santana de Mangueira;5098
PB;Santana dos Garrotes;6942
PB;Joca Claudino;2640
PB;Santa Rita;138093
PB;Santa Teresinha;4550
PB;Santo André;2496
PB;São Bento;34650
PB;São Bentinho;4602
PB;São Domingos do Cariri;2645
PB;São Domingos;3119
PB;São Francisco;3377
PB;São João do Cariri;4170
PB;São João do Tigre;4408
PB;São José da Lagoa Tapada;7622
PB;São José de Caiana;6394
PB;São José de Espinharas;4631
PB;São José dos Ramos;6037
PB;São José de Piranhas;20406
PB;São José de Princesa;3898
PB;São José do Bonfim;3619
PB;São José do Brejo do Cruz;1821
PB;São José do Sabugi;4153
PB;São José dos Cordeiros;3607
PB;São Mamede;7682
PB;São Miguel de Taipu;7450
PB;São Sebastião de Lagoa de Roça;11793
PB;São Sebastião do Umbuzeiro;3534
PB;Sapé;52977
PB;São Vicente do Seridó;10919
PB;Serra Branca;13807
PB;Serra da Raiz;3114
PB;Serra Grande;2921
PB;Serra Redonda;7001
PB;Serraria;6037
PB;Sertãozinho;5152
PB;Sobrado;7845
PB;Solânea;26051
PB;Soledade;15211
PB;Sossêgo;3631
PB;Sousa;69997
PB;Sumé;17096
PB;Tacima;11024
PB;Taperoá;15505
PB;Tavares;14791
PB;Teixeira;15333
PB;Tenório;3103
PB;Triunfo;9473
PB;Uiraúna;15356
PB;Umbuzeiro;9914
PB;Várzea;2870
PB;Vieirópolis;5395
PB;Zabelê;2269
PE;Abreu e Lima;100698
PE;Afogados da Ingazeira;37546
PE;Afrânio;19981
PE;Agrestina;25240
PE;Água Preta;37386
PE;Águas Belas;43923
PE;Alagoinha;14798
PE;Aliança;38408
PE;Altinho;22996
PE;Amaraji;22910
PE;Angelim;11301
PE;Araçoiaba;20936
PE;Araripina;85301
PE;Arcoverde;75295
PE;Barra de Guabiraba;14632
PE;Barreiros;42866
PE;Belém de Maria;12169
PE;Belém do São Francisco;20730
PE;Belo Jardim;76930
PE;Betânia;12811
PE;Bezerros;60960
PE;Bodocó;38605
PE;Bom Conselho;48975
PE;Bom Jardim;40038
PE;Bonito;38101
PE;Brejão;8981
PE;Brejinho;7489
PE;Brejo da Madre de Deus;51696
PE;Buenos Aires;13224
PE;Buíque;59448
PE;Cabo de Santo Agostinho;210796
PE;Cabrobó;34778
PE;Cachoeirinha;20618
PE;Caetés;29065
PE;Calçado;10983
PE;Calumbi;5744
PE;Camaragibe;159945
PE;Camocim de São Félix;19032
PE;Camutanga;8592
PE;Canhotinho;24743
PE;Capoeiras;20048
PE;Carnaíba;19666
PE;Carnaubeira da Penha;13117
PE;Carpina;85131
PE;Caruaru;369343
PE;Casinhas;14395
PE;Catende;43778
PE;Cedro;11972
PE;Chã de Alegria;13641
PE;Chã Grande;21929
PE;Condado;26755
PE;Correntes;18327
PE;Cortês;12543
PE;Cumaru;9494
PE;Cupira;24237
PE;Custódia;37633
PE;Dormentes;19246
PE;Escada;69701
PE;Exu;31709
PE;Feira Nova;22360
PE;Fernando de Noronha;3140
PE;Ferreiros;12216
PE;Flores;22612
PE;Floresta;33488
PE;Frei Miguelinho;15633
PE;Gameleira;31578
PE;Garanhuns;141347
PE;Glória do Goitá;30847
PE;Goiana;80345
PE;Granito;7586
PE;Gravatá;85309
PE;Iati;19284
PE;Ibimirim;29585
PE;Ibirajuba;7773
PE;Igarassu;119690
PE;Iguaracy;12265
PE;Inajá;24034
PE;Ingazeira;4537
PE;Ipojuca;99101
PE;Ipubi;31515
PE;Itacuruba;5013
PE;Itaíba;26268
PE;Ilha de Itamaracá;27076
PE;Itambé;36495
PE;Itapetim;13492
PE;Itapissuma;27144
PE;Itaquitinga;17056
PE;Jaboatão dos Guararapes;711330
PE;Jaqueira;11632
PE;Jataúba;17305
PE;Jatobá;14904
PE;João Alfredo;33570
PE;Joaquim Nabuco;15999
PE;Jucati;11545
PE;Jupi;15007
PE;Jurema;15483
PE;Lagoa do Carro;18429
PE;Lagoa de Itaenga;21490
PE;Lagoa do Ouro;13300
PE;Lagoa dos Gatos;16345
PE;Lagoa Grande;26090
PE;Lajedo;40883
PE;Limoeiro;56149
PE;Macaparana;25565
PE;Machados;16549
PE;Manari;22110
PE;Maraial;11098
PE;Mirandiba;15548
PE;Moreno;63792
PE;Nazaré da Mata;32673
PE;Olinda;393734
PE;Orobó;23985
PE;Orocó;15309
PE;Ouricuri;70466
PE;Palmares;63745
PE;Palmeirina;7509
PE;Panelas;26438
PE;Paranatama;11608
PE;Parnamirim;22198
PE;Passira;28856
PE;Paudalho;57346
PE;Paulista;336919
PE;Pedra;22716
PE;Pesqueira;68067
PE;Petrolândia;37246
PE;Petrolina;359372
PE;Poção;11308
PE;Pombos;27204
PE;Primavera;15231
PE;Quipapá;26309
PE;Quixaba;6796
PE;Recife;1661017
PE;Riacho das Almas;20744
PE;Ribeirão;47813
PE;Rio Formoso;23719
PE;Sairé;9600
PE;Salgadinho;11214
PE;Salgueiro;61561
PE;Saloá;15880
PE;Sanharó;27308
PE;Santa Cruz;15713
PE;Santa Cruz da Baixa Verde;12708
PE;Santa Cruz do Capibaribe;111812
PE;Santa Filomena;14645
PE;Santa Maria da Boa Vista;42266
PE;Santa Maria do Cambucá;14308
PE;Santa Terezinha;11914
PE;São Benedito do Sul;16239
PE;São Bento do Una;60567
PE;São Caitano;37488
PE;São João;23002
PE;São Joaquim do Monte;21439
PE;São José da Coroa Grande;21868
PE;São José do Belmonte;34082
PE;São José do Egito;34210
PE;São Lourenço da Mata;114910
PE;São Vicente Férrer;18150
PE;Serra Talhada;87467
PE;Serrita;19226
PE;Sertânia;36189
PE;Sirinhaém;46845
PE;Moreilândia;11269
PE;Solidão;6034
PE;Surubim;66192
PE;Tabira;28860
PE;Tacaimbó;12843
PE;Tacaratu;26439
PE;Tamandaré;23852
PE;Taquaritinga do Norte;29472
PE;Terezinha;7227
PE;Terra Nova;10314
PE;Timbaúba;52587
PE;Toritama;47088
PE;Tracunhaém;13856
PE;Trindade;31103
PE;Triunfo;15232
PE;Tupanatinga;27793
PE;Tuparetama;8266
PE;Venturosa;18835
PE;Verdejante;9572
PE;Vertente do Lério;7526
PE;Vertentes;21172
PE;Vicência;32897
PE;Vitória de Santo Antão;140389
PE;Xexéu;14789
AL;Água Branca;20263
AL;Anadia;17507
AL;Arapiraca;234309
AL;Atalaia;47540
AL;Barra de Santo Antônio;16201
AL;Barra de São Miguel;8434
AL;Batalha;18440
AL;Belém;4226
AL;Belo Monte;6717
AL;Boca da Mata;27429
AL;Branquinha;10426
AL;Cacimbinhas;10920
AL;Cajueiro;21397
AL;Campestre;6972
AL;Campo Alegre;57997
AL;Campo Grande;9576
AL;Canapi;17715
AL;Capela;16907
AL;Carneiros;9568
AL;Chã Preta;7311
AL;Coité do Nóia;10594
AL;Colônia Leopoldina;21935
AL;Coqueiro Seco;5882
AL;Coruripe;57647
AL;Craíbas;24396
AL;Delmiro Gouveia;52501
AL;Dois Riachos;11059
AL;Estrela de Alagoas;18304
AL;Feira Grande;22192
AL;Feliz Deserto;4803
AL;Flexeiras;12823
AL;Girau do Ponciano;41549
AL;Ibateguara;15637
AL;Igaci;25596
AL;Igreja Nova;24670
AL;Inhapi;18398
AL;Jacaré dos Homens;5185
AL;Jacuípe;6992
AL;Japaratinga;8444
AL;Jaramataia;5751
AL;Jequiá da Praia;11495
AL;Joaquim Gomes;24167
AL;Jundiá;4119
AL;Junqueiro;24716
AL;Lagoa da Canoa;17692
AL;Limoeiro de Anadia;28904
AL;Maceió;1031597
AL;Major Isidoro;19923
AL;Maragogi;33351
AL;Maravilha;8850
AL;Marechal Deodoro;52848
AL;Maribondo;13123
AL;Mar Vermelho;3474
AL;Mata Grande;25200
AL;Matriz de Camaragibe;24627
AL;Messias;18201
AL;Minador do Negrão;5315
AL;Monteirópolis;7171
AL;Murici;28428
AL;Novo Lino;12837
AL;Olho d'Água das Flores;21690
AL;Olho d'Água do Casado;9507
AL;Olho d'Água Grande;5133
AL;Olivença;11681
AL;Ouro Branco;11573
AL;Palestina;5061
AL;Palmeira dos Índios;73452
AL;Pão de Açúcar;24307
AL;Pariconha;10546
AL;Paripueira;13484
AL;Passo de Camaragibe;15270
AL;Paulo Jacinto;7556
AL;Penedo;64005
AL;Piaçabuçu;17868
AL;Pilar;35310
AL;Pindoba;2903
AL;Piranhas;25324
AL;Poço das Trincheiras;14447
AL;Porto Calvo;27331
AL;Porto de Pedras;7618
AL;Porto Real do Colégio;20158
AL;Quebrangulo;11202
AL;Rio Largo;75662
AL;Roteiro;6634
AL;Santa Luzia do Norte;7344
AL;Santana do Ipanema;47910
AL;Santana do Mundaú;10637
AL;São Brás;6977
AL;São José da Laje;24064
AL;São José da Tapera;32462
AL;São Luís do Quitunde;34825
AL;São Miguel dos Campos;62328
AL;São Miguel dos Milagres;8073
AL;São Sebastião;34424
AL;Satuba;14042
AL;Senador Rui Palmeira;13893
AL;Tanque d'Arca;6115
AL;Taquarana;20162
AL;Teotônio Vilela;44570
AL;Traipu;27934
AL;União dos Palmares;65963
AL;Viçosa;25655
SE;Amparo do São Francisco;2386
SE;Aquidabã;21796
SE;Aracaju;672614
SE;Arauá;9840
SE;Areia Branca;18825
SE;Barra dos Coqueiros;31439
SE;Boquim;26980
SE;Brejo Grande;8396
SE;Campo do Brito;18325
SE;Canhoba;4003
SE;Canindé de São Francisco;30894
SE;Capela;34808
SE;Carira;22393
SE;Carmópolis;17232
SE;Cedro de São João;5929
SE;Cristinápolis;18181
SE;Cumbe;4008
SE;Divina Pastora;5290
SE;Estância;69919
SE;Feira Nova;5617
SE;Frei Paulo;15688
SE;Gararu;11599
SE;General Maynard;3421
SE;Gracho Cardoso;5831
SE;Ilha das Flores;8522
SE;Indiaroba;18337
SE;Itabaiana;96839
SE;Itabaianinha;42399
SE;Itabi;4869
SE;Itaporanga d'Ajuda;35054
SE;Japaratuba;19067
SE;Japoatã;13422
SE;Lagarto;106015
SE;Laranjeiras;30327
SE;Macambira;7002
SE;Malhada dos Bois;3715
SE;Malhador;12689
SE;Maruim;17328
SE;Moita Bonita;11361
SE;Monte Alegre de Sergipe;15315
SE;Muribeca;7653
SE;Neópolis;18688
SE;Nossa Senhora Aparecida;8822
SE;Nossa Senhora da Glória;37715
SE;Nossa Senhora das Dores;26957
SE;Nossa Senhora de Lourdes;6509
SE;Nossa Senhora do Socorro;187733
SE;Pacatuba;14650
SE;Pedra Mole;3309
SE;Pedrinhas;9727
SE;Pinhão;6678
SE;Pirambu;9436
SE;Poço Redondo;35461
SE;Poço Verde;24003
SE;Porto da Folha;28788
SE;Propriá;29756
SE;Riachão do Dantas;19813
SE;Riachuelo;10354
SE;Ribeirópolis;18891
SE;Rosário do Catete;11158
SE;Salgado;20051
SE;Santa Luzia do Itanhy;14205
SE;Santana do São Francisco;7906
SE;Santa Rosa de Lima;3933
SE;Santo Amaro das Brotas;12200
SE;São Cristóvão;92090
SE;São Domingos;11276
SE;São Francisco;3837
SE;São Miguel do Aleixo;3964
SE;Simão Dias;40724
SE;Siriri;9046
SE;Telha;3271
SE;Tobias Barreto;52861
SE;Tomar do Geru;13534
SE;Umbaúba;25800
BA;Abaíra;8681
BA;Abaré;20594
BA;Acajutiba;15214
BA;Adustina;17209
BA;Água Fria;17096
BA;Érico Cardoso;10513
BA;Aiquara;4387
BA;Alagoinhas;153023
BA;Alcobaça;22509
BA;Almadina;5273
BA;Amargosa;37631
BA;Amélia Rodrigues;24997
BA;América Dourada;16086
BA;Anagé;21229
BA;Andaraí;13122
BA;Andorinha;14416
BA;Angical;13902
BA;Anguera;11369
BA;Antas;19659
BA;Antônio Cardoso;11670
BA;Antônio Gonçalves;11955
BA;Aporá;17840
BA;Apuarema;7274
BA;Aracatu;12960
BA;Araçás;12237
BA;Araci;54903
BA;Aramari;11519
BA;Arataca;10904
BA;Aratuípe;8848
BA;Aurelino Leal;11079
BA;Baianópolis;13979
BA;Baixa Grande;20431
BA;Banzaê;13251
BA;Barra;54225
BA;Barra da Estiva;20198
BA;Barra do Choça;30831
BA;Barra do Mendes;13128
BA;Barra do Rocha;5515
BA;Barreiras;158432
BA;Barro Alto;15171
BA;Barrocas;16225
BA;Barro Preto;5312
BA;Belmonte;23540
BA;Belo Campo;17013
BA;Biritinga;15989
BA;Boa Nova;12039
BA;Boa Vista do Tupim;18491
BA;Bom Jesus da Lapa;70151
BA;Bom Jesus da Serra;9768
BA;Boninal;14518
BA;Bonito;16999
BA;Boquira;21486
BA;Botuporã;10050
BA;Brejões;14155
BA;Brejolândia;10675
BA;Brotas de Macaúbas;10705
BA;Brumado;67468
BA;Buerarema;18269
BA;Buritirama;21374
BA;Caatiba;6232
BA;Cabaceiras do Paraguaçu;19010
BA;Cachoeira;33659
BA;Caculé;23407
BA;Caém;8912
BA;Caetanos;14671
BA;Caetité;51184
BA;Cafarnaum;18585
BA;Cairu;18666
BA;Caldeirão Grande;13452
BA;Camacan;32023
BA;Camaçari;309208
BA;Camamu;35444
BA;Campo Alegre de Lourdes;28839
BA;Campo Formoso;71754
BA;Canápolis;9694
BA;Canarana;26468
BA;Canavieiras;30722
BA;Candeal;8109
BA;Candeias;87820
BA;Candiba;14415
BA;Cândido Sales;24921
BA;Cansanção;34929
BA;Canudos;16832
BA;Capela do Alto Alegre;11597
BA;Capim Grosso;31055
BA;Caraíbas;8659
BA;Caravelas;22166
BA;Cardeal da Silva;9395
BA;Carinhanha;29118
BA;Casa Nova;73092
BA;Castro Alves;26369
BA;Catolândia;3619
BA;Catu;55222
BA;Caturama;9303
BA;Central;17293
BA;Chorrochó;11221
BA;Cícero Dantas;32636
BA;Cipó;17402
BA;Coaraci;16128
BA;Cocos;18835
BA;Conceição da Feira;22933
BA;Conceição do Almeida;17087
BA;Conceição do Coité;67394
BA;Conceição do Jacuípe;33631
BA;Conde;26223
BA;Condeúba;17113
BA;Contendas do Sincorá;4025
BA;Coração de Maria;22391
BA;Cordeiros;8667
BA;Coribe;14108
BA;Coronel João Sá;15549
BA;Correntina;32243
BA;Cotegipe;13756
BA;Cravolândia;5352
BA;Crisópolis;21219
BA;Cristópolis;13981
BA;Cruz das Almas;63923
BA;Curaçá;35065
BA;Dário Meira;10347
BA;Dias d'Ávila;83705
BA;Dom Basílio;12281
BA;Dom Macedo Costa;4072
BA;Elísio Medrado;8129
BA;Encruzilhada;15914
BA;Entre Rios;42014
BA;Esplanada;37902
BA;Euclides da Cunha;61112
BA;Eunápolis;115360
BA;Fátima;17801
BA;Feira da Mata;5656
BA;Feira de Santana;624107
BA;Filadélfia;16314
BA;Firmino Alves;5641
BA;Floresta Azul;10525
BA;Formosa do Rio Preto;26111
BA;Gandu;32778
BA;Gavião;4417
BA;Gentio do Ouro;11284
BA;Glória;15247
BA;Gongogi;6852
BA;Governador Mangabeira;20800
BA;Guajeru;6371
BA;Guanambi;85353
BA;Guaratinga;20565
BA;Heliópolis;12946
BA;Iaçu;23950
BA;Ibiassucê;8849
BA;Ibicaraí;21083
BA;Ibicoara;19990
BA;Ibicuí;16262
BA;Ibipeba;18421
BA;Ibipitanga;14989
BA;Ibiquera;4047
BA;Ibirapitanga;23433
BA;Ibirapuã;8740
BA;Ibirataia;14476
BA;Ibitiara;16463
BA;Ibititá;17048
BA;Ibotirama;27076
BA;Ichu;6232
BA;Igaporã;15661
BA;Igrapiúna;12963
BA;Iguaí;27006
BA;Ilhéus;157639
BA;Inhambupe;40720
BA;Ipecaetá;14229
BA;Ipiaú;45969
BA;Ipirá;59281
BA;Ipupiara;9954
BA;Irajuba;7295
BA;Iramaia;7874
BA;Iraquara;25728
BA;Irará;29305
BA;Irecê;74050
BA;Itabela;30901
BA;Itaberaba;64795
BA;Itabuna;214123
BA;Itacaré;29051
BA;Itaeté;16164
BA;Itagi;12140
BA;Itagibá;14331
BA;Itagimirim;6784
BA;Itaguaçu da Bahia;14650
BA;Itaju do Colônia;6515
BA;Itajuípe;20309
BA;Itamaraju;64423
BA;Itamari;7971
BA;Itambé;22474
BA;Itanagra;6433
BA;Itanhém;19231
BA;Itaparica;22440
BA;Itapé;8300
BA;Itapebi;10173
BA;Itapetinga;77408
BA;Itapicuru;36173
BA;Itapitanga;10284
BA;Itaquara;8375
BA;Itarantim;19937
BA;Itatim;14588
BA;Itiruçu;12482
BA;Itiúba;36140
BA;Itororó;20394
BA;Ituaçu;19095
BA;Ituberá;28870
BA;Iuiu;11038
BA;Jaborandi;8176
BA;Jacaraci;14855
BA;Jacobina;80749
BA;Jaguaquara;54913
BA;Jaguarari;33915
BA;Jaguaripe;19162
BA;Jandaíra;10742
BA;Jequié;156277
BA;Jeremoabo;40832
BA;Jiquiriçá;14576
BA;Jitaúna;10470
BA;João Dourado;25606
BA;Juazeiro;219544
BA;Jucuruçu;8856
BA;Jussara;15241
BA;Jussari;5706
BA;Jussiape;5777
BA;Lafaiete Coutinho;3663
BA;Lagoa Real;15870
BA;Laje;24214
BA;Lajedão;3993
BA;Lajedinho;3735
BA;Lajedo do Tabocal;8591
BA;Lamarão;8078
BA;Lapão;27323
BA;Lauro de Freitas;204669
BA;Lençóis;11586
BA;Licínio de Almeida;12357
BA;Livramento de Nossa Senhora;46372
BA;Luís Eduardo Magalhães;92671
BA;Macajuba;11318
BA;Macarani;19056
BA;Macaúbas;50481
BA;Macururé;7752
BA;Madre de Deus;21754
BA;Maetinga;2386
BA;Maiquinique;10294
BA;Mairi;18535
BA;Malhada;16875
BA;Malhada de Pedras;8326
BA;Manoel Vitorino;12944
BA;Mansidão;13822
BA;Maracás;19973
BA;Maragogipe;44902
BA;Maraú;20664
BA;Marcionílio Souza;10357
BA;Mascote;13619
BA;Mata de São João;47643
BA;Matina;12359
BA;Medeiros Neto;22741
BA;Miguel Calmon;25771
BA;Milagres;10838
BA;Mirangaba;18603
BA;Mirante;8264
BA;Monte Santo;49145
BA;Morpará;8476
BA;Morro do Chapéu;35466
BA;Mortugaba;12063
BA;Mucugê;8725
BA;Mucuri;42729
BA;Mulungu do Morro;10469
BA;Mundo Novo;27153
BA;Muniz Ferreira;7464
BA;Muquém do São Francisco;11479
BA;Muritiba;29420
BA;Mutuípe;22340
BA;Nazaré;28661
BA;Nilo Peçanha;14156
BA;Nordestina;13197
BA;Nova Canaã;16482
BA;Nova Fátima;7830
BA;Nova Ibiá;6518
BA;Nova Itarana;8328
BA;Nova Redenção;9126
BA;Nova Soure;27047
BA;Nova Viçosa;44170
BA;Novo Horizonte;12653
BA;Novo Triunfo;15445
BA;Olindina;28373
BA;Oliveira dos Brejinhos;21797
BA;Ouriçangas;8575
BA;Ourolândia;17567
BA;Palmas de Monte Alto;21840
BA;Palmeiras;9123
BA;Paramirim;21777
BA;Paratinga;32274
BA;Paripiranga;29124
BA;Pau Brasil;9550
BA;Paulo Afonso;119213
BA;Pé de Serra;13535
BA;Pedrão;7438
BA;Pedro Alexandre;16698
BA;Piatã;16854
BA;Pilão Arcado;35295
BA;Pindaí;16308
BA;Pindobaçu;20048
BA;Pintadas;10353
BA;Piraí do Norte;10050
BA;Piripá;10253
BA;Piritiba;25162
BA;Planaltino;9415
BA;Planalto;26581
BA;Poções;46885
BA;Pojuca;40401
BA;Ponto Novo;14729
BA;Porto Seguro;152529
BA;Potiraguá;6623
BA;Prado;28214
BA;Presidente Dutra;15180
BA;Presidente Jânio Quadros;12028
BA;Presidente Tancredo Neves;28272
BA;Queimadas;25428
BA;Quijingue;27672
BA;Quixabeira;8939
BA;Rafael Jambeiro;22643
BA;Remanso;41324
BA;Retirolândia;14588
BA;Riachão das Neves;22330
BA;Riachão do Jacuípe;33498
BA;Riacho de Santana;35757
BA;Ribeira do Amparo;14631
BA;Ribeira do Pombal;54097
BA;Ribeirão do Largo;4896
BA;Rio de Contas;12878
BA;Rio do Antônio;15521
BA;Rio do Pires;11672
BA;Rio Real;41209
BA;Rodelas;9548
BA;Ruy Barbosa;30900
BA;Salinas da Margarida;16047
BA;Salvador;2900319
BA;Santa Bárbara;20971
BA;Santa Brígida;13917
BA;Santa Cruz Cabrália;28058
BA;Santa Cruz da Vitória;6241
BA;Santa Inês;10583
BA;Santaluz;37704
BA;Santa Luzia;12308
BA;Santa Maria da Vitória;39707
BA;Santana;26792
BA;Santanópolis;8987
BA;Santa Rita de Cássia;28613
BA;Santa Terezinha;10520
BA;Santo Amaro;60190
BA;Santo Antônio de Jesus;103204
BA;Santo Estêvão;53666
BA;São Desidério;34764
BA;São Domingos;9085
BA;São Félix;14784
BA;São Félix do Coribe;15543
BA;São Felipe;21083
BA;São Francisco do Conde;40664
BA;São Gabriel;18785
BA;São Gonçalo dos Campos;38315
BA;São José da Vitória;5562
BA;São José do Jacuípe;10546
BA;São Miguel das Matas;11733
BA;São Sebastião do Passé;44554
BA;Sapeaçu;17421
BA;Sátiro Dias;17330
BA;Saubara;12163
BA;Saúde;12971
BA;Seabra;44370
BA;Sebastião Laranjeiras;11586
BA;Senhor do Bonfim;79813
BA;Serra do Ramalho;31362
BA;Sento Sé;41279
BA;Serra Dourada;17261
BA;Serra Preta;14531
BA;Serrinha;81693
BA;Serrolândia;13490
BA;Simões Filho;137117
BA;Sítio do Mato;13104
BA;Sítio do Quinto;9431
BA;Sobradinho;23274
BA;Souto Soares;17118
BA;Tabocas do Brejo Velho;12515
BA;Tanhaçu;20383
BA;Tanque Novo;17518
BA;Tanquinho;7936
BA;Taperoá;21421
BA;Tapiramutá;16939
BA;Teixeira de Freitas;164290
BA;Teodoro Sampaio;7296
BA;Teofilândia;22590
BA;Teolândia;15097
BA;Terra Nova;13018
BA;Tremedal;15996
BA;Tucano;50903
BA;Uauá;23991
BA;Ubaíra;19860
BA;Ubaitaba;18647
BA;Ubatã;27481
BA;Uibaí;13894
BA;Umburanas;19573
BA;Una;18108
BA;Urandi;16672
BA;Uruçuca;20312
BA;Utinga;19330
BA;Valença;97873
BA;Valente;29111
BA;Várzea da Roça;14135
BA;Várzea do Poço;9247
BA;Várzea Nova;12556
BA;Varzedo;8734
BA;Vera Cruz;44185
BA;Vereda;6105
BA;Vitória da Conquista;343643
BA;Wagner;9342
BA;Wanderley;12125
BA;Wenceslau Guimarães;20862
BA;Xique-Xique;46562
MG;Abadia dos Dourados;7022
MG;Abaeté;23263
MG;Abre Campo;13434
MG;Acaiaca;3995
MG;Açucena;9270
MG;Água Boa;13319
MG;Água Comprida;1986
MG;Aguanil;4557
MG;Águas Formosas;19285
MG;Águas Vermelhas;13656
MG;Aimorés;25116
MG;Aiuruoca;5949
MG;Alagoa;2657
MG;Albertina;3015
MG;Além Paraíba;35438
MG;Alfenas;80973
MG;Alfredo Vasconcelos;7052
MG;Almenara;42380
MG;Alpercata;7448
MG;Alpinópolis;20059
MG;Alterosa;14566
MG;Alto Caparaó;5938
MG;Alto Rio Doce;10723
MG;Alvarenga;3783
MG;Alvinópolis;15135
MG;Alvorada de Minas;3605
MG;Amparo do Serra;4643
MG;Andradas;41704
MG;Cachoeira de Pajeú;9470
MG;Andrelândia;12189
MG;Angelândia;8594
MG;Antônio Carlos;11471
MG;Antônio Dias;9233
MG;Antônio Prado de Minas;1577
MG;Araçaí;2360
MG;Aracitaba;2056
MG;Araçuaí;36715
MG;Araguari;118361
MG;Arantina;2779
MG;Araponga;8467
MG;Araporã;6992
MG;Arapuá;2836
MG;Araújos;9523
MG;Araxá;108403
MG;Arceburgo;10990
MG;Arcos;40658
MG;Areado;15288
MG;Argirita;2681
MG;Aricanduva;5305
MG;Arinos;17850
MG;Astolfo Dutra;14358
MG;Ataléia;12496
MG;Augusto de Lima;4833
MG;Baependi;19249
MG;Baldim;7780
MG;Bambuí;23964
MG;Bandeira;4738
MG;Bandeira do Sul;5808
MG;Barão de Cocais;33232
MG;Barão de Monte Alto;5311
MG;Barbacena;139061
MG;Barra Longa;4905
MG;Barroso;20981
MG;Bela Vista de Minas;10269
MG;Belmiro Braga;3422
MG;Belo Horizonte;2530701
MG;Belo Oriente;27277
MG;Belo Vale;7723
MG;Berilo;11813
MG;Bertópolis;4609
MG;Berizal;4792
MG;Betim;450024
MG;Bias Fortes;3282
MG;Bicas;14612
MG;Biquinhas;2482
MG;Boa Esperança;40308
MG;Bocaina de Minas;5088
MG;Bocaiúva;50521
MG;Bom Despacho;51436
MG;Bom Jardim de Minas;6444
MG;Bom Jesus da Penha;4270
MG;Bom Jesus do Amparo;6182
MG;Bom Jesus do Galho;14792
MG;Bom Repouso;10527
MG;Bom Sucesso;17612
MG;Bonfim;6852
MG;Bonfinópolis de Minas;5397
MG;Bonito de Minas;11502
MG;Borda da Mata;19809
MG;Botelhos;14927
MG;Botumirim;6259
MG;Brasilândia de Minas;16950
MG;Brasília de Minas;32460
MG;Brás Pires;4255
MG;Braúnas;4737
MG;Brazópolis;14364
MG;Brumadinho;41208
MG;Bueno Brandão;10982
MG;Buenópolis;10342
MG;Bugre;3984
MG;Buritis;25179
MG;Buritizeiro;28184
MG;Cabeceira Grande;7025
MG;Cabo Verde;14074
MG;Cachoeira da Prata;3580
MG;Cachoeira de Minas;11609
MG;Cachoeira Dourada;2720
MG;Caetanópolis;11869
MG;Caeté;45364
MG;Caiana;5584
MG;Cajuri;3961
MG;Caldas;14600
MG;Camacho;2839
MG;Camanducaia;21831
MG;Cambuí;30068
MG;Cambuquira;12810
MG;Campanário;3739
MG;Campanha;16855
MG;Campestre;21052
MG;Campina Verde;19759
MG;Campo Azul;3830
MG;Campo Belo;54338
MG;Campo do Meio;11648
MG;Campo Florido;8383
MG;Campos Altos;15661
MG;Campos Gerais;28908
MG;Canaã;4533
MG;Canápolis;12251
MG;Cana Verde;5585
MG;Candeias;14890
MG;Cantagalo;4575
MG;Caparaó;5464
MG;Capela Nova;4616
MG;Capelinha;38321
MG;Capetinga;6860
MG;Capim Branco;9896
MG;Capinópolis;16294
MG;Capitão Andrade;5559
MG;Capitão Enéas;15388
MG;Capitólio;8693
MG;Caputira;9318
MG;Caraí;23872
MG;Caranaíba;3150
MG;Carandaí;25831
MG;Carangola;33022
MG;Caratinga;93124
MG;Carbonita;9423
MG;Careaçu;6826
MG;Carlos Chagas;18516
MG;Carmésia;2660
MG;Carmo da Cachoeira;12193
MG;Carmo da Mata;11546
MG;Carmo de Minas;15031
MG;Carmo do Cajuru;22900
MG;Carmo do Paranaíba;30339
MG;Carmo do Rio Claro;21310
MG;Carmópolis de Minas;19756
MG;Carneirinho;10103
MG;Carrancas;4052
MG;Carvalhópolis;3614
MG;Carvalhos;4445
MG;Casa Grande;2251
MG;Cascalho Rico;3108
MG;Cássia;17741
MG;Conceição da Barra de Minas;3939
MG;Cataguases;75942
MG;Catas Altas;5465
MG;Catas Altas da Noruega;3665
MG;Catuji;6206
MG;Catuti;4944
MG;Caxambu;21566
MG;Cedro do Abaeté;1150
MG;Central de Minas;7059
MG;Centralina;10343
MG;Chácara;3216
MG;Chalé;5695
MG;Chapada do Norte;15334
MG;Chapada Gaúcha;14217
MG;Chiador;2657
MG;Cipotânea;6811
MG;Claraval;4873
MG;Claro dos Poções;7478
MG;Cláudio;29093
MG;Coimbra;7631
MG;Coluna;8810
MG;Comendador Gomes;3128
MG;Comercinho;6624
MG;Conceição da Aparecida;10351
MG;Conceição das Pedras;2814
MG;Conceição das Alagoas;28782
MG;Conceição de Ipanema;4581
MG;Conceição do Mato Dentro;17438
MG;Conceição do Pará;5558
MG;Conceição do Rio Verde;13729
MG;Conceição dos Ouros;11852
MG;Cônego Marinho;7730
MG;Confins;6867
MG;Congonhal;12209
MG;Congonhas;55836
MG;Congonhas do Norte;5047
MG;Conquista;6997
